Distance_(cm), Density_(g/cm3), Mixture_fraction_(), Temperature_(K), Mole_fraction_N2_(), Mole_fraction_O2_(), Mole_fraction_NH3_(), Mole_fraction_CH4_()
6.88E-01,1.18E-03,1.35E-07,3.00E+02,7.50E-01,2.49E-01,6.42E-08,1.93E-07
6.93E-01,1.18E-03,9.72E-08,3.00E+02,7.50E-01,2.50E-01,4.75E-08,1.43E-07
6.98E-01,1.18E-03,6.95E-08,3.00E+02,7.50E-01,2.50E-01,3.52E-08,1.05E-07
7.04E-01,1.18E-03,4.89E-08,3.00E+02,7.50E-01,2.50E-01,2.60E-08,7.80E-08
7.09E-01,1.18E-03,3.37E-08,3.00E+02,7.50E-01,2.50E-01,1.92E-08,5.77E-08
7.14E-01,1.18E-03,2.24E-08,3.00E+02,7.51E-01,2.50E-01,1.42E-08,4.26E-08
7.19E-01,1.18E-03,1.41E-08,3.00E+02,7.51E-01,2.50E-01,1.05E-08,3.15E-08
7.25E-01,1.18E-03,7.92E-09,3.00E+02,7.51E-01,2.50E-01,7.76E-09,2.33E-08
7.30E-01,1.18E-03,3.36E-09,3.00E+02,7.51E-01,2.50E-01,5.74E-09,1.72E-08
7.35E-01,1.18E-03,0.00E+00,3.00E+02,7.51E-01,2.50E-01,4.24E-09,1.27E-08
